mfo;edrpou;fullName;name
380269;14360570;СТОЛИЧНА ФІЛІЯ ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА КОМЕРЦІЙНОГО БАНКУ "ПРИВАТБАНК";СТОЛИЧНА ФІЛІЯ ПАТ КБ "ПРИВАТБАНК"
307350;34514392;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК "КОНКОРД";ПАТ "АКБ "КОНКОРД"
380322;34540113;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК БОГУСЛАВ";АТ "БАНК БОГУСЛАВ"
380366;34576883;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КРЕДИТ ЇВРОПА БАНК";ПАТ "КРЕДИТ ЇВРОПА БАНК"
380430;34693790;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ЇВРОПЕЙСЬКИЙ ГАЗОВИЙ БАНК";АТ "ЇВРОГАЗБАНК"
380441;34575675;Публічне акціонерне товариство "ВЕСТ ФАЙНЕНС ЕНД КРЕДИТ БАНК";ПАТ "КРЕДИТВЕСТ БАНК"
380667;34817907;Публічне акціонерне товариство "ЕРДЕ БАНК";АТ "ЕРДЕ БАНК"
399120;;Аудиторська фірма "ПрайсвотерхаусКуперс";Аудиторська фірма "ПрайсвотерхаусКуперс"
397003;35289950;Філія публічного акціонерного товариства "Державний експортно-імпортний банк України" в м.Сумах;Філія АТ "Укрексімбанк" у м.Сумах"
339555;35264721;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "ПРЕМІУМ";ПАТ "КБ "ПРЕМІУМ"
380474;35371070;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК "ТРАСТ";ПАТ БАНК "ТРАСТ"
313009;35345213;публічне акціонерне товариство "МОТОР-БАНК";ПАТ "МОТОР-БАНК"
380515;35574578;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "СОЮЗ";АТ "КБ "СОЮЗ"
380526;35591059;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "ГЛОБУС";ПАТ "КБ "ГЛОБУС"
380548;35590956;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АГРОПРОСПЕРІС БАНК";ПАТ "АП БАНК"
380582;35810511;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК";ПАТ "МІБ"
307394;35863708;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АКТАБАНК";ПАТ "АКТАБАНК"
380612;35894495;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ЗЛАТОБАНК";АТ "ЗЛАТОБАНК"
380634;35960913;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "АКОРДБАНК";ПуАТ "КБ "АКОРДБАНК"
380645;36002395;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК 3/4";ПАТ "БАНК 3/4"
377090;36061927;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ЇВРОПЕЙСЬКИЙ ПРОМИСЛОВИЙ БАНК";ПАТ "ЇВРОПРОМБАНК"
380690;36335426;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "СТАНДАРТ";ПАТ КБ "СТАНДАРТ"
380689;36301800;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ВЕРНУМ БАНК";ПАТ "ВЕРНУМ БАНК"
380708;36406512;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "АВАНТ-БАНК";ПАТ "АВАНТ-БАНК"
380719;36470620;Публічне акціонерне товариство "ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ";ПАТ "ВБР"
380731;36520434;Публічне акціонерне товариство "Дойче Банк ДБУ";ПАТ "Дойче Банк ДБУ"
319111;36964568;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "РАДИКАЛ БАНК";ПАТ "РАДИКАЛ БАНК"
344443;35917889;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "РОЗРАХУНКОВИЙ ЦЕНТР З ОБСЛУГОВУВАННЯ ДОГОВОРІВ НА ФІНАНСОВИХ РИНКАХ";ПАТ "РОЗРАХУНКОВИЙ ЦЕНТР"
380742;37119553;Публічне акціонерне товариство "Комерційний Банк "Центр";ПАТ КБ "Центр"
380786;37176171;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "СМАРТБАНК";ПУАТ "СМАРТБАНК"
380797;37515069;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "СЕБ КОРПОРАТИВНИЙ БАНК";ПАТ "СЕБ КОРПОРАТИВНИЙ БАНК"
380816;37716841;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК СІЧ";ПАТ "БАНК СІЧ"
380827;37572263;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ДІВІ БАНК";ПАТ "ДІВІ БАНК"
307424;37731532;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ІНТЕРКРЕДИТБАНК";ПАТ "ІНТЕРКРЕДИТБАНК"
307435;37987811;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "МЕЛІОР БАНК";ПАТ "МЕЛІОР БАНК"
380861;38061253;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК "СОФІЙСЬКИЙ";ПАТ "БАНК "СОФІЙСЬКИЙ"
380894;38377143;АКЦІОНЕРНЕ ТОВАРИСТВО "АЛЬПАРІ БАНК";АТ "АЛЬПАРІ БАНК"
380902;38514375;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК "ЮНІСОН";ПАТ "БАНК "ЮНІСОН"
380935;38619024;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК МИХАЙЛІВСЬКИЙ";ПАТ "БАНК МИХАЙЛІВСЬКИЙ"
380946;38690683;АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК АВАНГАРД";АТ "БАНК АВАНГАРД"
380957;38781707;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК";ПАТ "ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК"
380968;38591533;публічне акціонерне товариство "Державний земельний банк";ПАТ "Держзембанк"
339016;38870739;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК "ПОРТАЛ";ПАТ "БАНК "ПОРТАЛ"
377120;38770082;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "ГЕФЕСТ";ПАТ "КОМЕРЦІЙНИЙ БАНК "ГЕФЕСТ"
339038;39037656;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "ВЕКТОР БАНК";ПАТ "ВЕКТОР БАНК"
899998;37567646;Державна казначейська служба України;Казначейство України
339050;39544699;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КРИСТАЛБАНК";ПАТ "КРИСТАЛБАНК"
380010;0;ФІЛІЯ ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА "ПЕРШИЙ УКРАЇНСЬКИЙ МІЖНАРОДНИЙ БАНК" В М.КИЇВ;ФІЛІЯ ПАТ "ПУМБ" В М.КИЇВ"
339072;39849797;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "РВС БАНК";ПАТ "РВС БАНК"
